labid,lowtag,study area,location,lat,long,age.at.col1,th.age,sex,weight,body_condition,pregnancy,collar1,collar1.on,collar1.off,reason.off1,collar2,collar2.on,collar2.off,reason.off2,collar3,collar3.on,collar3.off,reason.off3,mort.date,cwd.test,cwd.result,lab_result_bpv,titer_value,log2,log10,ehdv_result,lb,lb_titer,lc,lc_titer,lg,lg_titer,lh,lh_titer,li,li_titer,lp,lp_titer,exposure_multi,home_range_95_kud_km2,home_range_50_kud_km2,mean_daily_dist_km,prop_habitat_agri,prop_habitat_forest,prop_habitat_wetland,crop_forest_ratio,edge_density,mean_odba,prop_time_resting,prop_time_active,crepuscularity_index,mean_resting_bout_duration_hrs,daily_resting_bout_frequency,fate,mortality_date,mortality_cause 
59,5631,,,,,>2yrs,NA,Female,,,,82070,1/26/19,1/6/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,1/6/21,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
60,5661,,,,,>2yrs,1,Male,,,,24961,2/28/19,11/3/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,11/3/19,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
61,5679,,,,,8mo,NA,Male,,,,29552,3/6/19,10/25/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,10/25/21,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
62,5726,,,,,>2yrs,6,Female,,,,43225,2/10/17,1/12/20,censor,NA,NA,NA,NA,84600,1/12/20,NA,NA,NA,NA,NA,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
63,6876,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
64,6444,,,,,8mo,NA,Male,,,,24969,1/1/19,12/30/19,censor,40435,12/30/19,3/30/20,mortality,NA,NA,NA,NA,3/30/20,FALSE,NA,Negative,10,3.32,1,0,Positive,400,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
65,5163,,,,,>2yrs,1,Male,,,,24980,2/2/18,1/2/19,censor,24973,2/6/19,10/12/19,censor,NA,NA,NA,NA,10/30/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
66,5561,,,,,>2yrs,8,Female,,,,82048,2/11/19,6/2/19,mortality,NA,NA,NA,NA,NA,NA,NA,NA,6/2/19,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
67,5579,,,,,8mo,NA,Male,,,,29554,1/4/19,3/8/20,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/8/20,TRUE,Positive,Negative,10,3.32,1,0,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
68,5637,,,,,8mo,NA,Male,,,,24205,3/7/19,3/1/21,mortality,NA,NA,NA,NA,NA,NA,NA,NA,3/1/21,TRUE,Negative,Negative,10,3.32,1,0,Negative,100,Negative,100,Positive,100,Negative,100,Negative,100,Negative,100,,,,,,,,,,,,,,,,,,
